order	family	Genus	species	mass(g)	gestation(mo)	newborn(g)	weaning(mo)	wean mass(g)	AFR(mo)	max. life(mo)	litter size	litters/year	refs
Artiodactyla	Antilocapridae	Antilocapra	americana	45375.00	8.13	3246.36	3.00	8900.00	13.53	142	1.85	1.00	"1,2,6,9,23,26,27"
Artiodactyla	Bovidae	Addax	nasomaculatus	182375.00	9.39	5480.00	6.50	-999.00	27.27	308	1.00	0.99	"1,2,17,23,26"
Artiodactyla	Bovidae	Aepyceros	melampus	41480.00	6.35	5093.00	5.63	15900.00	16.66	213	1.00	0.95	"1,2,8,9,23,29"
Artiodactyla	Bovidae	Alcelaphus	buselaphus	150000.00	7.90	10166.67	6.50	-999.00	23.02	240	1.00	-999.00	"1,2,17,23"
Artiodactyla	Bovidae	Ammodorcas	clarkei	28500.00	6.80	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,2"
Artiodactyla	Bovidae	Ammotragus	lervia	55500.00	5.08	3810.00	4.00	-999.00	14.89	251	1.37	2.00	"1,2,9,11,17,23,29"
Artiodactyla	Bovidae	Antidorcas	marsupialis	30000.00	5.72	3910.00	4.04	-999.00	10.23	228	1.00	-999.00	"1,2,9,23,27"
Artiodactyla	Bovidae	Antilope	cervicapra	37500.00	5.50	3846.00	2.13	-999.00	20.13	255	1.00	1.89	"1,2,17"
Artiodactyla	Bovidae	Bison	bison	497666.67	8.93	20000.00	10.71	157500.00	29.45	300	1.00	1.00	"1,2,6,11,13,17,23"
Artiodactyla	Bovidae	Bison	bonasus	500000.00	9.14	23000.08	6.60	-999.00	29.99	324	1.00	1.00	"1,2,13,17,19"
Artiodactyla	Bovidae	Bos	grunniens	333000.00	8.88	18000.00	7.33	-999.00	24.27	300	1.00	0.75	"1,2,17,29"
Artiodactyla	Bovidae	Bos	frontalis	800000.00	9.02	23033.33	4.50	-999.00	24.16	314	1.17	0.89	"1,2,23"
Artiodactyla	Bovidae	Bos	javanicus	666666.67	9.83	-999.00	9.50	-999.00	25.54	319	1.33	1.00	"1,2,23"
Artiodactyla	Bovidae	Boselaphus	tragocamelus	169000.00	8.51	5875.00	-999.00	-999.00	29.97	260	1.51	1.13	"1,2,17,29"
Artiodactyla	Bovidae	Bubalus	depressicornis	-999.00	10.00	-999.00	-999.00	-999.00	-999.00	433	1.00	-999.00	"1,2,17"
Artiodactyla	Bovidae	Bubalus	mindorensis	233333.33	9.85	-999.00	-999.00	-999.00	-999.00	300	1.00	0.50	"11,13"
Artiodactyla	Bovidae	Bubalus	bubalis	950000.00	10.47	37500.00	7.50	-999.00	19.88	348	1.33	0.50	"1,2,15,29"
Artiodactyla	Bovidae	Budorcas	taxicolor	302000.00	8.29	6000.00	-999.00	-999.00	30.00	235	1.17	1.00	"1,2,11,17"
